ticker,name,sector
CDNS,Cadence Design,Technology
MAR,Marriott,Consumer Discretionary
ORLY,O'Reilly Automotive,Consumer Discretionary
USB,U.S. Bancorp,Financials
PNC,PNC Financial,Financials
EOG,EOG Resources,Energy
CSX,CSX,Industrials
NOC,Northrop Grumman,Industrials
FDX,FedEx,Industrials
AON,Aon,Financials
ECL,Ecolab,Materials
APD,Air Products,Materials
MSI,Motorola Solutions,Technology
FCX,Freeport-McMoRan,Materials
TT,Trane Technologies,Industrials
COIN,Coinbase,Financials
HLT,Hilton,Consumer Discretionary
EMR,Emerson,Industrials
NXPI,NXP Semiconductors,Technology
OKE,ONEOK,Energy
AZO,AutoZone,Consumer Discretionary
SPG,Simon Property,Real Estate
ROST,Ross Stores,Consumer Discretionary
MRVL,Marvell,Technology
ADSK,Autodesk,Technology
DASH,DoorDash,Consumer Discretionary
TRV,Travelers,Financials
AFL,Aflac,Financials
KMI,Kinder Morgan,Energy
NEM,Newmont,Materials
GM,General Motors,Consumer Discretionary
F,Ford,Consumer Discretionary
WDAY,Workday,Technology
FTNT,Fortinet,Technology
CMG,Chipotle,Consumer Discretionary
PAYX,Paychex,Industrials
MET,MetLife,Financials
CTAS,Cintas,Industrials
LULU,Lululemon,Consumer Discretionary
MNST,Monster Beverage,Consumer Staples
ARM,Arm Holdings,Technology
HOOD,Robinhood,Financials
SHOP,Shopify,Technology
MSTR,MicroStrategy,Technology
APP,AppLovin,Technology
SMCI,Super Micro Computer,Technology
DELL,Dell Technologies,Technology
SNOW,Snowflake,Technology
DDOG,Datadog,Technology
NET,Cloudflare,Technology
ZS,Zscaler,Technology
TTD,The Trade Desk,Technology
SQ,Block,Financials
SOFI,SoFi,Financials
RIVN,Rivian,Consumer Discretionary
LCID,Lucid,Consumer Discretionary
NIO,NIO,Consumer Discretionary
BABA,Alibaba,Consumer Discretionary
PDD,PDD Holdings,Consumer Discretionary
JD,JD.com,Consumer Discretionary
TSM,Taiwan Semiconductor,Technology
ASML,ASML,Technology
NVO,Novo Nordisk,Health Care
TM,Toyota,Consumer Discretionary
SPY,SPDR S&P 500 ETF,ETF
QQQ,Invesco QQQ ETF,ETF
IWM,iShares Russell 2000 ETF,ETF
DIA,SPDR Dow Jones ETF,ETF
